Date,Event
1776," In a letter to her husband, Founding Father John Adams, future first lady Abigail Adams makes a plea to him and the Continental Congress to “remember the ladies and be more generous and favorable to them than your ancestors. Do not put such unlimited power into the hands of the husbands. Remember, all men would be tyrants if they could. If particular care and attention is not paid to the ladies, we are determined to foment a rebellion, and will not hold ourselves bound by any laws in which we have no voice or representation.”"
1848," In the first women’s rights convention organized by women, the Seneca Falls Convention is held in New York, with 300 attendees, including organizers Elizabeth Cady Stanton and Lucretia Mott. Sixty-eight women and 32 men (including Frederick Douglass) sign the Declaration of Sentiments, which sparked decades of activism, eventually leading to the passage of the 19th Amendment granting women the right to vote."
1849," Elizabeth Blackwell becomes the first woman to graduate from medical school and become a doctor in the United States. Born in Bristol, England, she graduated from Geneva College in New York with the highest grades in her entire class."
1851," A formerly enslaved worker turned abolitionist and women’s rights activist, Sojourner Truth delivers her famous ""Ain't I a Woman?"" speech at the Women’s Rights Convention in Akron, Ohio. “And ain't I a woman? Look at me! Look at my arm! I have ploughed and planted, and gathered into barns, and no man could head me! And ain't I a woman? I could work as much and eat as much as a man—when I could get it—and bear the lash as well! And ain't I a woman? I have borne 13 children, and seen most all sold off to slavery, and when I cried out with my mother's grief, none but Jesus heard me! And ain't I a woman?”"
1869," The legislature of the territory of Wyoming passes America’s first woman suffrage law, granting women the right to vote and hold office. In 1890, Wyoming is the 44th state admitted to the Union and becomes the first state to allow women the right to vote. "
1869," Susan B. Anthony and Elizabeth Cady Stanton found the National Woman Suffrage Association, which coordinated the national suffrage movement. In 1890, the group teamed with the American Woman Suffrage Association to form the National American Woman Suffrage Association."
1916," Margaret Sanger opens the first birth control clinic in the United States. Located in Brownsville, Brooklyn, her clinic was deemed illegal under the “Comstock Laws” forbidding birth control, and the clinic was raided on October 26, 1916. When she had to close two additional times due to legal threats, she closed the clinic and eventually founded the American Birth Control League in 1921—the precursor to today’s Planned Parenthood."
1917," Jeannette Rankin of Montana, a longtime activist with the National Woman Suffrage Association, is sworn in as the first woman elected to Congress as a member of the House of Representatives. "
1920," Ratification of the 19th Amendment to the U.S. Constitution is completed, declaring “the right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of sex.” It is nicknamed “The Susan B. Anthony Amendment” in honor of her work on behalf of women’s suffrage."
1932," Amelia Earhart becomes the first woman, and second pilot ever (Charles Lindbergh was first) to fly solo nonstop across the Atlantic."
1945,"The Alaska Equal Rights Act is signed into law. The act is the first state or territorial anti-discrimination law enacted in the United States in the 20th century. Elizabeth Peratrovich, a Tlingit woman who was Grand President of the Alaska Native Sisterhood, spearheaded the effort to end discrimination against Alaska Natives and other non-white residents."
1955," Black seamstress Rosa Parks refuses to give up her seat to a white man on a bus in Montgomery, Ala. The move helps launch the civil rights movement."
1960,"The Food and Drug Administration (FDA) approves the first commercially produced birth control pill in the world, allowing women to control when and if they have children. Margaret Sanger initially commissioned “the pill” with funding from heiress Katherine McCormick."
1963," President John F. Kennedy signs into law the Equal Pay Act, prohibiting sex-based wage discrimination between men and women performing the same job in the same workplace."
1964," President Lyndon B. Johnson, signs the Civil Rights Act into law; Title VII bans employment discrimination based on race, religion, national origin or sex."
1966," Betty Friedan, author of 1963’s The Feminine Mystique, helps found the National Organization for Women (NOW), using, as the organization now states, “grassroots activism to promote feminist ideals, lead societal change, eliminate discrimination, and achieve and protect the equal rights of all women and girls in all aspects of social, political, and economic life.”"
1972," Title IX of the Education Amendments is signed into law by President Richard Nixon. It states “No person in the United States shall, on the basis of sex, be excluded from participation in, be denied the benefits of, or be subjected to discrimination under any education program or activity receiving Federal financial assistance."""
1973," In its landmark 7-2 Roe v. Wade decision, the U.S. Supreme Court declares that the Constitution protects a woman’s legal right to an abortion. In June 2022, the Supreme Court overturned the ruling. "
1973," In “The Battle of the Sexes,” tennis great Billie Jean King beats Bobby Riggs in straight sets during an exhibition match aired on primetime TV and drawing 90 million viewers. “I thought it would set us back 50 years if I didn’t win that match,” King says after the match. “It would ruin the women’s [tennis] tour and affect all women’s self-esteem.”"
1981," Sandra Day O’Connor is sworn in by President Ronald Reagan as the first woman to serve on the U.S. Supreme Court. She retires in 2006, after serving for 24 years."
1983," Flying on the Space Shuttle Challenger, Sally Ride becomes the first American woman in space."
1984," Democratic presidential nominee Walter Mondale names U.S. Rep. Geraldine Ferraro (N.Y.) as his running mate, making her the first woman vice president nominee by a major party."
1993," Nominated by President Bill Clinton, Janet Reno is sworn in as the first female attorney general of the United States."
1997," Also nominated by Clinton, Madeleine Albright is sworn in as the nation’s first female secretary of state."
1994," Clinton signs the Violence Against Women Act as part of the Violent Crime Control and Law Enforcement Act, providing funding for programs that help victims of domestic violence, rape, sexual assault, stalking and other gender-related violence."
2007," U.S. Rep. Nancy Pelosi (D-Calif.) becomes the first female speaker of the House. In 2019, she reclaims the title, becoming the first lawmaker to hold the office two times in more than 50 years. "
2013, The U.S. military removes a ban against women serving in combat positions.
2016," Hillary Clinton becomes the first woman to receive a presidential nomination from a major political party. During her speech at the Democratic National Convention, she says, “Standing here as my mother's daughter, and my daughter's mother, I'm so happy this day has come.”"
2021," Kamala Harris is sworn in as the first woman and first woman of color vice president of the United States. ""While I may be the first woman in this office, I will not be the last,"" Harris said after getting elected in November. "
